index,artist_name,artist_id,album_id,album_name,release_date,total_tracks,album_type
0,Abby Gundersen,5BlKoQLYxv24MSV5AD6i6q,6wtdoqQ2vTSTduaV8p4PAr,Sleep Comes Then I Wake,2020-03-10,10,album
1,Abby Gundersen,5BlKoQLYxv24MSV5AD6i6q,1Z3D5hsl9uXPSq5EZeLWhL,Aurora,2015-09-01,9,album
2,David Ramirez,4MBIFx8pthemIVuEJSgAxb,1U5fFAoh0MCDDge59UgFTw,Backslider,2021-03-12,7,album
3,David Ramirez,4MBIFx8pthemIVuEJSgAxb,3RWnnxLBxt6PLTj0sXxv3o,My Love Is a Hurricane,2020-07-17,10,album
4,David Ramirez,4MBIFx8pthemIVuEJSgAxb,23gCpxLndR6W4a0ZNDUBlg,We're Not Going Anywhere,2017-09-08,10,album
5,David Ramirez,4MBIFx8pthemIVuEJSgAxb,3eI4JXB2jYDasGE9Fus6O0,Fables,2015-08-28,10,album
6,David Ramirez,4MBIFx8pthemIVuEJSgAxb,5Hj7qZ7rPuueRCVYImsZVl,Apologies,2012-08-28,11,album
7,David Ramirez,4MBIFx8pthemIVuEJSgAxb,1QDd5eTOMnuRnbEM1JOIM0,American Soil,2009-06-26,11,album
8,Joshua James,0YLUOdFiedWIWBttlDAQeO,4h9Yaf0GJPA5Z9y8e3ezCf,"Forever in Life, for Now",2021-06-18,12,album
9,Joshua James,0YLUOdFiedWIWBttlDAQeO,7trBccWdLVX1nHwJVtoJNv,Dreams of Karen,2020-09-22,8,album
10,Joshua James,0YLUOdFiedWIWBttlDAQeO,6F7MYfVWFvsb0XVrcnAXTy,Joshua James & Nate Pyfer Discover Responsibility Through Fatherhood,2020-02-08,12,album
11,Joshua James,0YLUOdFiedWIWBttlDAQeO,6uH81zfRqf8hxafbv2Z1aM,Magical Leaves Red White Black Heat,2019-12-24,9,album
12,Joshua James,0YLUOdFiedWIWBttlDAQeO,4ItmWXeF6QGjyG32aZMgOX,My Spirit Sister,2017-04-07,10,album
13,Joshua James,0YLUOdFiedWIWBttlDAQeO,4oXxPieaaMDRqgv6uVHdHj,"Well, Then, I'll Go to Hell",2013-11-12,9,album
14,Joshua James,0YLUOdFiedWIWBttlDAQeO,3CUZa51GtWom4eKExObz1t,From the Top of Willamette Mountain,2012-11-06,11,album
15,Joshua James,0YLUOdFiedWIWBttlDAQeO,1jy7EWW8qI5BCQsqaPXGvn,Build Me This,2009-09-22,13,album
16,Joshua James,0YLUOdFiedWIWBttlDAQeO,1wJXSd8NQnqjpKbe3x9yVI,Build Me This (Bonus Track Version),2009,16,album
17,Joshua James,0YLUOdFiedWIWBttlDAQeO,2Nke0quT81veIdGG65GJal,The Sun Is Always Brighter (Deluxe Edition),2008-06-03,13,album
18,Joshua James,0YLUOdFiedWIWBttlDAQeO,1jo51blVrWFQYZtbxffYuj,Fields & Floods,2007-11-20,7,album
19,Joshua James,0YLUOdFiedWIWBttlDAQeO,222HutTUce1KlGv3qSnwTI,B-Sides It's Dark Outside,2006-01-01,8,album
20,Penny and Sparrow,65o6y7GtoXzchyiJB3r9Ur,4ruy6zMB9t2sKrNyK2B8zF,Olly Olly,2022-01-21,12,album
21,Penny and Sparrow,65o6y7GtoXzchyiJB3r9Ur,7xwCaNuLiEx9EdcErw3lX3,Horse Color Two,2021-03-26,13,album
22,Penny and Sparrow,65o6y7GtoXzchyiJB3r9Ur,5RoHxuOtNK8pxDVKtLgRSO,"Live in Texas, 2019",2020-08-07,19,album
23,Penny and Sparrow,65o6y7GtoXzchyiJB3r9Ur,0ixOUcKraH7Y3tIV1MGoRo,Finch,2019-08-02,11,album
24,Penny and Sparrow,65o6y7GtoXzchyiJB3r9Ur,1F3g88B97YjpzE2Pc6Rw1q,Wendigo,2017-09-01,14,album
25,Penny and Sparrow,65o6y7GtoXzchyiJB3r9Ur,5sTk7csBMRu9jPsxnJkev3,Christmas Songs,2016-11-11,11,album
26,Penny and Sparrow,65o6y7GtoXzchyiJB3r9Ur,4ECjQ3e329XWu16Q2PIbze,Let A Lover Drown You,2016-03-11,11,album
27,Penny and Sparrow,65o6y7GtoXzchyiJB3r9Ur,1xmeNQbhSB4F10c68KRHzR,Struggle Pretty,2014-04-22,12,album
28,Penny and Sparrow,65o6y7GtoXzchyiJB3r9Ur,2cVOSmXfC0wZBoj7TmpZl7,Tenboom,2013-01-08,10,album
29,The Courage,4UXKGrZQMFfo9VvmMuaVOp,3xTSoyz5UpePnWTiCbvrYC,Fearful Bones,2010-09-11,11,album
30,The Courage,4UXKGrZQMFfo9VvmMuaVOp,6f1Dbk5Gl4MGmWKSzFSSsj,The Art of Spiritual Warfare,2005-01-01,15,album
31,Donovan Woods,4SOtk3HtPYKqxnVuxNBMti,2PP3lxuj6J2aWSF8kRfoRZ,Things Were Never Good If They're Not Good Now,2024-07-12,13,album
32,Donovan Woods,4SOtk3HtPYKqxnVuxNBMti,27qq5JOb3LzZ91B3PSYZJj,Without People (Deluxe),2021-03-26,18,album
33,Donovan Woods,4SOtk3HtPYKqxnVuxNBMti,4r9vIyMQT7a5iPBcHN9RNU,Without People,2020-11-06,14,album
34,Donovan Woods,4SOtk3HtPYKqxnVuxNBMti,2FtRomdxFmbtSAx0MVzXTy,The Other Way,2019-05-03,12,album
35,Donovan Woods,4SOtk3HtPYKqxnVuxNBMti,7N2zsLq0Nd5FQQEEZYzoq2,Both Ways,2018-04-20,12,album
36,Donovan Woods,4SOtk3HtPYKqxnVuxNBMti,5vhqwNBBHK308FW24wIMOb,"Hard Settle, Ain't Troubled (Deluxe Edition)",2016-08-12,15,album
37,Donovan Woods,4SOtk3HtPYKqxnVuxNBMti,5skD4KvE9DW8TRLKhh2Ibm,"Hard Settle, Ain't Troubled",2016-02-26,11,album
38,Donovan Woods,4SOtk3HtPYKqxnVuxNBMti,2GJP9uqijsWCNXj62D0UNG,Don't Get Too Grand,2013-03-26,11,album
39,Donovan Woods,4SOtk3HtPYKqxnVuxNBMti,4gyq2C0YusS2XACXZNP3EK,The Widowmaker,2011-09-27,12,album
40,Donovan Woods,4SOtk3HtPYKqxnVuxNBMti,7Gcpxsufg9TMsRYaejZyJQ,The Hold Up,2009-03-03,9,album
41,Glorietta,7xOKlpKHj8SkUgiVFA2LX7,6SmlOm6tHgxQ3Fr9Lxyhl5,Glorietta,2018-08-24,12,album
42,Ruston Kelly,5zuqnTZOeJzI0N0yQ7XA7I,56ERlTGoY9RQ4wM65laAnG,"Weakness, Etc",2024-03-22,7,album
