,Unnamed: 0,name,artist_id,genres,followers,popularity,spotify_url
0,0,Angel Du$t,2ynylCO9SRPTKjgNEH0Y2a,dreamo,63023,41,https://open.spotify.com/artist/2ynylCO9SRPTKjgNEH0Y2a
1,1,Trapped Under Ice,2x48WoJGRLCpCWHEKXMZoB,"chaotic hardcore, hardcore, melodic hardcore, metallic hardcore",75031,42,https://open.spotify.com/artist/2x48WoJGRLCpCWHEKXMZoB
2,2,Incendiary,3nS4tSuT4VwGiZH6BtlJfC,"long island punk, metallic hardcore, nyhc",81448,40,https://open.spotify.com/artist/3nS4tSuT4VwGiZH6BtlJfC
3,3,DRAIN,7FAAkDlPg6pg0860CIDzmu,california hardcore,91964,45,https://open.spotify.com/artist/7FAAkDlPg6pg0860CIDzmu
4,4,Drug Church,6q4AmzK3GzCuEzkurnYuEQ,"dreamo, emo, indie punk, modern melodic hardcore",81260,45,https://open.spotify.com/artist/6q4AmzK3GzCuEzkurnYuEQ
5,5,Backtrack,71N7xIvnaOFGetZL5nhWsl,"hardcore, long island punk, metallic hardcore, nyhc, straight edge",48322,34,https://open.spotify.com/artist/71N7xIvnaOFGetZL5nhWsl
6,6,Have Heart,6e0QWfEFmK6AguLy02mlqi,"boston hardcore, chaotic hardcore, dreamo, hardcore punk, melodic hardcore, straight edge",86691,42,https://open.spotify.com/artist/6e0QWfEFmK6AguLy02mlqi
7,7,Fiddlehead,0q6u5HyVK4zwGuzEtqjHqa,"5th wave emo, alternative emo, boston indie, dreamo, emo, indie punk, new england emo",57203,44,https://open.spotify.com/artist/0q6u5HyVK4zwGuzEtqjHqa
8,8,Jesus Piece,5ZPr0RHsR3DrAhtsYMsfHR,"black punk, metallic hardcore, pennsylvania hardcore",96978,38,https://open.spotify.com/artist/5ZPr0RHsR3DrAhtsYMsfHR
9,9,Expire,4AfTOzBubFP6STibJPTxwt,metallic hardcore,47889,32,https://open.spotify.com/artist/4AfTOzBubFP6STibJPTxwt
10,10,Rotting Out,7tjMOkm52H3Qiz3ty2tbNw,"california hardcore, hardcore, la hardcore, metallic hardcore",48441,29,https://open.spotify.com/artist/7tjMOkm52H3Qiz3ty2tbNw
11,11,Mindforce,2Tl7uZui4u9a3nXUM9VMei,"crossover thrash, metallic hardcore, modern hardcore, nyhc",43327,41,https://open.spotify.com/artist/2Tl7uZui4u9a3nXUM9VMei
12,12,Speed,4wf6GGNBqaU79839E6yjfn,australian hardcore,60858,48,https://open.spotify.com/artist/4wf6GGNBqaU79839E6yjfn
