,artist_name,artist_id,album_id,album_name,release_date,total_tracks,album_type,name,genres,followers,popularity,spotify_url,track_id,track_name,track_number,duration_ms,explicit,danceability,energy,tempo,valence,acousticness,instrumentalness,liveness,speechiness,key,mode,loudness,time_signature
0,Korn,3RNrq3jvMZxD9ZyoOZbQOD,5gizwaBQyfZYTEb8zdL7Z6,Untitled Deluxe,2023-07-28,15,album,Korn,"alternative metal, funk metal, hard rock, nu metal, post-grunge, rap metal, rock",7904909,77,httpsopenspotifycomartist3RNrq3jvMZxD9ZyoOZbQOD,0sI3piBYNKAVaw7vAPidxg,Intro,1,117160,False,0.515,0.316,79.97,0.187,0.878,0.925,0.089,0.0255,11,0,-13.185,3
1,Korn,3RNrq3jvMZxD9ZyoOZbQOD,5gizwaBQyfZYTEb8zdL7Z6,Untitled Deluxe,2023-07-28,15,album,Korn,"alternative metal, funk metal, hard rock, nu metal, post-grunge, rap metal, rock",7904909,77,httpsopenspotifycomartist3RNrq3jvMZxD9ZyoOZbQOD,4CzNhEAJjxUqwwVE8SMK9X,Starting Over,2,242133,False,0.627,0.98,125.038,0.479,0.00361,0.201,0.651,0.0557,4,0,-5.203,4
2,Korn,3RNrq3jvMZxD9ZyoOZbQOD,5gizwaBQyfZYTEb8zdL7Z6,Untitled Deluxe,2023-07-28,15,album,Korn,"alternative metal, funk metal, hard rock, nu metal, post-grunge, rap metal, rock",7904909,77,httpsopenspotifycomartist3RNrq3jvMZxD9ZyoOZbQOD,3t1BWDwVL3N8W3upXj9GLA,Bitch We Got a Problem,3,202933,True,0.402,0.947,172.196,0.527,0.000531,0.892,0.433,0.0704,11,0,-4.535,4
3,Korn,3RNrq3jvMZxD9ZyoOZbQOD,5gizwaBQyfZYTEb8zdL7Z6,Untitled Deluxe,2023-07-28,15,album,Korn,"alternative metal, funk metal, hard rock, nu metal, post-grunge, rap metal, rock",7904909,77,httpsopenspotifycomartist3RNrq3jvMZxD9ZyoOZbQOD,1Yt9WK0Xqkz3yTXZgGkXx3,Evolution,4,217506,True,0.651,0.885,102.93,0.536,0.0627,0.0178,0.239,0.0548,3,1,-4.925,4
4,Korn,3RNrq3jvMZxD9ZyoOZbQOD,5gizwaBQyfZYTEb8zdL7Z6,Untitled Deluxe,2023-07-28,15,album,Korn,"alternative metal, funk metal, hard rock, nu metal, post-grunge, rap metal, rock",7904909,77,httpsopenspotifycomartist3RNrq3jvMZxD9ZyoOZbQOD,2M6uUbcQUMOt6BgJzc83Pu,Hold On,5,185533,False,0.598,0.981,99.994,0.151,0.000354,0.819,0.0902,0.0945,9,1,-3.901,4
5,Korn,3RNrq3jvMZxD9ZyoOZbQOD,5gizwaBQyfZYTEb8zdL7Z6,Untitled Deluxe,2023-07-28,15,album,Korn,"alternative metal, funk metal, hard rock, nu metal, post-grunge, rap metal, rock",7904909,77,httpsopenspotifycomartist3RNrq3jvMZxD9ZyoOZbQOD,47f4k3llewNjvCcSIjBX6k,Kiss,6,249733,False,0.541,0.715,146.026,0.278,0.201,0.137,0.144,0.0337,3,1,-7.505,4
6,Korn,3RNrq3jvMZxD9ZyoOZbQOD,5gizwaBQyfZYTEb8zdL7Z6,Untitled Deluxe,2023-07-28,15,album,Korn,"alternative metal, funk metal, hard rock, nu metal, post-grunge, rap metal, rock",7904909,77,httpsopenspotifycomartist3RNrq3jvMZxD9ZyoOZbQOD,2vHlfUtURmOdqOV7N5ecWb,Do What They Say,7,257092,False,0.557,0.766,121.943,0.336,0.0105,0.0344,0.132,0.0427,0,1,-6.632,3
7,Korn,3RNrq3jvMZxD9ZyoOZbQOD,5gizwaBQyfZYTEb8zdL7Z6,Untitled Deluxe,2023-07-28,15,album,Korn,"alternative metal, funk metal, hard rock, nu metal, post-grunge, rap metal, rock",7904909,77,httpsopenspotifycomartist3RNrq3jvMZxD9ZyoOZbQOD,0Xw322oYDGdU0b2Wals72x,Ever Be,8,288733,True,0.474,0.902,160.053,0.325,0.000164,0.263,0.231,0.0492,0,1,-6.087,3
8,Korn,3RNrq3jvMZxD9ZyoOZbQOD,5gizwaBQyfZYTEb8zdL7Z6,Untitled Deluxe,2023-07-28,15,album,Korn,"alternative metal, funk metal, hard rock, nu metal, post-grunge, rap metal, rock",7904909,77,httpsopenspotifycomartist3RNrq3jvMZxD9ZyoOZbQOD,1WXJYyUzpRISfKbFMwSVIz,Love and Luxury,9,180906,True,0.596,0.973,110.006,0.656,0.144,0.0114,0.434,0.0505,11,0,-4.864,4
9,Korn,3RNrq3jvMZxD9ZyoOZbQOD,5gizwaBQyfZYTEb8zdL7Z6,Untitled Deluxe,2023-07-28,15,album,Korn,"alternative metal, funk metal, hard rock, nu metal, post-grunge, rap metal, rock",7904909,77,httpsopenspotifycomartist3RNrq3jvMZxD9ZyoOZbQOD,0iWU1GeKXuDen8NLFDn72J,Innocent Bystander,10,207960,False,0.462,0.874,161.967,0.518,0.00155,0.00881,0.0741,0.0987,2,1,-4.622,4
10,Korn,3RNrq3jvMZxD9ZyoOZbQOD,5gizwaBQyfZYTEb8zdL7Z6,Untitled Deluxe,2023-07-28,15,album,Korn,"alternative metal, funk metal, hard rock, nu metal, post-grunge, rap metal, rock",7904909,77,httpsopenspotifycomartist3RNrq3jvMZxD9ZyoOZbQOD,5uYG7kh2GJoxRjR54mG9xY,Killing,11,216466,False,0.328,0.896,124.857,0.183,0.00171,0.0279,0.308,0.107,0,0,-5.177,4
11,Korn,3RNrq3jvMZxD9ZyoOZbQOD,5gizwaBQyfZYTEb8zdL7Z6,Untitled Deluxe,2023-07-28,15,album,Korn,"alternative metal, funk metal, hard rock, nu metal, post-grunge, rap metal, rock",7904909,77,httpsopenspotifycomartist3RNrq3jvMZxD9ZyoOZbQOD,6JMOwizurzg773CaCmAn8d,Hushabye,12,232440,False,0.519,0.771,138.055,0.356,0.0243,0.713,0.0988,0.042,9,0,-7.622,3
12,Korn,3RNrq3jvMZxD9ZyoOZbQOD,5gizwaBQyfZYTEb8zdL7Z6,Untitled Deluxe,2023-07-28,15,album,Korn,"alternative metal, funk metal, hard rock, nu metal, post-grunge, rap metal, rock",7904909,77,httpsopenspotifycomartist3RNrq3jvMZxD9ZyoOZbQOD,38E66O2MXMTy6h4BdwmwJ1,I Will Protect You,13,332693,True,0.55,0.873,130.026,0.247,0.00246,0.476,0.381,0.0833,2,1,-6.323,4
13,Korn,3RNrq3jvMZxD9ZyoOZbQOD,5gizwaBQyfZYTEb8zdL7Z6,Untitled Deluxe,2023-07-28,15,album,Korn,"alternative metal, funk metal, hard rock, nu metal, post-grunge, rap metal, rock",7904909,77,httpsopenspotifycomartist3RNrq3jvMZxD9ZyoOZbQOD,5G5mQxQYtYk5LhxxW1JmVD,Sing Sorrow,14,273375,False,0.45,0.922,157.795,0.212,0.000429,0.0253,0.141,0.114,2,0,-5.766,4
14,Korn,3RNrq3jvMZxD9ZyoOZbQOD,5gizwaBQyfZYTEb8zdL7Z6,Untitled Deluxe,2023-07-28,15,album,Korn,"alternative metal, funk metal, hard rock, nu metal, post-grunge, rap metal, rock",7904909,77,httpsopenspotifycomartist3RNrq3jvMZxD9ZyoOZbQOD,3PgK8DK9jZSYR17OEUDjJb,Overture or Obituary,15,182625,False,0.597,0.896,111.99,0.422,0.0171,0.0351,0.113,0.0876,2,0,-5.279,4
15,Korn,3RNrq3jvMZxD9ZyoOZbQOD,4fN6xfIrXPX8SMgcFU4A6h,Requiem Mass Deluxe Edition,2023-02-03,14,album,Korn,"alternative metal, funk metal, hard rock, nu metal, post-grunge, rap metal, rock",7904909,77,httpsopenspotifycomartist3RNrq3jvMZxD9ZyoOZbQOD,1WHcosWgvI6RraqBiINOqd,Start The Healing - Requiem Mass,1,219200,False,0.578,0.961,149.956,0.499,0.0122,0.0,0.94,0.0839,1,1,-5.714,4
16,Korn,3RNrq3jvMZxD9ZyoOZbQOD,4fN6xfIrXPX8SMgcFU4A6h,Requiem Mass Deluxe Edition,2023-02-03,14,album,Korn,"alternative metal, funk metal, hard rock, nu metal, post-grunge, rap metal, rock",7904909,77,httpsopenspotifycomartist3RNrq3jvMZxD9ZyoOZbQOD,1AEbkplFNpAzKS5HjC1Fu9,Lost In The Grandeur - Requiem Mass,2,240591,False,0.356,0.966,154.879,0.122,0.00207,4.81e-05,0.959,0.28,2,1,-5.577,4
